question,expected_keywords,expected_conditions,expect_company,expect_indicator,expect_time,description
2023年*ST生物的单季度.归母净利润MOM,"*ST生物,000504.SZ,单季度.归母净利润MOM,S_QFA_CGRNETPROFIT",2023,*ST生物,单季度.归母净利润MOM,2023,[financial_statements] 验证 单季度.归母净利润MOM (table)
深桑达A的单季度.营业利润MOM是多少,"深桑达A,000032.SZ,单季度.营业利润MOM,S_QFA_CGROP",,深桑达A,单季度.营业利润MOM,10y,[financial_statements] 验证 单季度.营业利润MOM (table)
招金黄金最近一年的单季度.营业利润MOM走势,"招金黄金,000506.SZ,单季度.营业利润MOM,S_QFA_CGROP",,招金黄金,单季度.营业利润MOM,1y,[financial_statements] 验证 单季度.营业利润MOM (table)
深华发A的单季度.净利润MOM是多少,"深华发A,000020.SZ,单季度.净利润MOM,S_QFA_CGRPROFIT",,深华发A,单季度.净利润MOM,10y,[financial_statements] 验证 单季度.净利润MOM (table)
截至2023年底武商集团的单季度.净利润MOM,"武商集团,000501.SZ,单季度.净利润MOM,S_QFA_CGRPROFIT","<=,2023",武商集团,单季度.净利润MOM,until_2023,[financial_statements] 验证 单季度.净利润MOM (table)
查一下南京公用的单季度.主营业务收入MOM,"南京公用,000421.SZ,单季度.主营业务收入MOM,S_QFA_CGRSALES",,南京公用,单季度.主营业务收入MOM,10y,[financial_statements] 验证 单季度.主营业务收入MOM (table)
截至2023年底珠海港的单季度.主营业务收入MOM,"珠海港,000507.SZ,单季度.主营业务收入MOM,S_QFA_CGRSALES","<=,2023",珠海港,单季度.主营业务收入MOM,until_2023,[financial_statements] 验证 单季度.主营业务收入MOM (table)
*ST张股的单季度.基本每股收益是多少,"*ST张股,000430.SZ,单季度.基本每股收益,S_QFA_EPS",,*ST张股,单季度.基本每股收益,10y,[financial_statements] 验证 单季度.基本每股收益 (table)
中国宝安最近一年的单季度.基本每股收益走势,"中国宝安,000009.SZ,单季度.基本每股收益,S_QFA_EPS",,中国宝安,单季度.基本每股收益,1y,[financial_statements] 验证 单季度.基本每股收益 (table)
截至2023年底深圳华强的单季度.费用率,"深圳华强,000062.SZ,单季度.费用率,S_QFA_EXPENSETOSALES","<=,2023",深圳华强,单季度.费用率,until_2023,[financial_statements] 验证 单季度.费用率 (table)
盐田港的单季度.费用率是多少,"盐田港,000088.SZ,单季度.费用率,S_QFA_EXPENSETOSALES",,盐田港,单季度.费用率,10y,[financial_statements] 验证 单季度.费用率 (table)
德赛电池最新的单季度.财务费用率,"德赛电池,000049.SZ,单季度.财务费用率,S_QFA_FINAEXPENSETOGR","ORDER BY,LIMIT 1",德赛电池,单季度.财务费用率,latest,[financial_statements] 验证 单季度.财务费用率 (table)
深纺织A最新的单季度.财务费用率,"深纺织A,000045.SZ,单季度.财务费用率,S_QFA_FINAEXPENSETOGR","ORDER BY,LIMIT 1",深纺织A,单季度.财务费用率,latest,[financial_statements] 验证 单季度.财务费用率 (table)
2023年中国宝安的单季度.毛利率,"中国宝安,000009.SZ,单季度.毛利率,S_QFA_GROSSPROFITMARGIN",2023,中国宝安,单季度.毛利率,2023,[financial_statements] 验证 单季度.毛利率 (table)
美丽生态的单季度.毛利率是多少,"美丽生态,000010.SZ,单季度.毛利率,S_QFA_GROSSPROFITMARGIN",,美丽生态,单季度.毛利率,10y,[financial_statements] 验证 单季度.毛利率 (table)
2023年长虹华意的单季度.所得税,"长虹华意,000404.SZ,单季度.所得税,S_QFA_INC_TAX",2023,长虹华意,单季度.所得税,2023,[financial_statements] 验证 单季度.所得税 (table)
渝开发的单季度.所得税是多少,"渝开发,000514.SZ,单季度.所得税,S_QFA_INC_TAX",,渝开发,单季度.所得税,10y,[financial_statements] 验证 单季度.所得税 (table)
深圳华强最近一年的单季度.财务费用走势,"深圳华强,000062.SZ,单季度.财务费用,S_QFA_LESS_FIN_EXP",,深圳华强,单季度.财务费用,1y,[financial_statements] 验证 单季度.财务费用 (table)
截至2023年底东方盛虹的单季度.财务费用,"东方盛虹,000301.SZ,单季度.财务费用,S_QFA_LESS_FIN_EXP","<=,2023",东方盛虹,单季度.财务费用,until_2023,[financial_statements] 验证 单季度.财务费用 (table)
山东路桥的单季度.管理费用是多少,"山东路桥,000498.SZ,单季度.管理费用,S_QFA_LESS_GERL_ADMIN_EXP",,山东路桥,单季度.管理费用,10y,[financial_statements] 验证 单季度.管理费用 (table)
深中华A最新的单季度.管理费用,"深中华A,000017.SZ,单季度.管理费用,S_QFA_LESS_GERL_ADMIN_EXP","ORDER BY,LIMIT 1",深中华A,单季度.管理费用,latest,[financial_statements] 验证 单季度.管理费用 (table)
2023年深振业A的单季度.营业成本,"深振业A,000006.SZ,单季度.营业成本,S_QFA_LESS_OPER_COST",2023,深振业A,单季度.营业成本,2023,[financial_statements] 验证 单季度.营业成本 (table)
2023年ST晨鸣的单季度.营业成本,"ST晨鸣,000488.SZ,单季度.营业成本,S_QFA_LESS_OPER_COST",2023,ST晨鸣,单季度.营业成本,2023,[financial_statements] 验证 单季度.营业成本 (table)
查一下中集集团的单季度.销售费用,"中集集团,000039.SZ,单季度.销售费用,S_QFA_LESS_SELLING_DIST_EXP",,中集集团,单季度.销售费用,10y,[financial_statements] 验证 单季度.销售费用 (table)
2023年国际医学的单季度.销售费用,"国际医学,000516.SZ,单季度.销售费用,S_QFA_LESS_SELLING_DIST_EXP",2023,国际医学,单季度.销售费用,2023,[financial_statements] 验证 单季度.销售费用 (table)
2023年京基智农的单季度.少数股东损益,"京基智农,000048.SZ,单季度.少数股东损益,S_QFA_MINORITY_INT_INC",2023,京基智农,单季度.少数股东损益,2023,[financial_statements] 验证 单季度.少数股东损益 (table)
查一下华天酒店的单季度.少数股东损益,"华天酒店,000428.SZ,单季度.少数股东损益,S_QFA_MINORITY_INT_INC",,华天酒店,单季度.少数股东损益,10y,[financial_statements] 验证 单季度.少数股东损益 (table)
查一下国药一致的单季度.净利率,"国药一致,000028.SZ,单季度.净利率,S_QFA_NETPROFITMARGIN",,国药一致,单季度.净利率,10y,[financial_statements] 验证 单季度.净利率 (table)
藏格矿业最近一年的单季度.净利率走势,"藏格矿业,000408.SZ,单季度.净利率,S_QFA_NETPROFITMARGIN",,藏格矿业,单季度.净利率,1y,[financial_statements] 验证 单季度.净利率 (table)
截至2023年底沙河股份的单季度.筹资活动现金净流量,"沙河股份,000014.SZ,单季度.筹资活动现金净流量,S_QFA_NET_CASH_FLOWS_FNC_ACT","<=,2023",沙河股份,单季度.筹资活动现金净流量,until_2023,[financial_statements] 验证 单季度.筹资活动现金净流量 (table)
深圳华强的单季度.筹资活动现金净流量是多少,"深圳华强,000062.SZ,单季度.筹资活动现金净流量,S_QFA_NET_CASH_FLOWS_FNC_ACT",,深圳华强,单季度.筹资活动现金净流量,10y,[financial_statements] 验证 单季度.筹资活动现金净流量 (table)
徐工机械的单季度.投资活动现金净流量是多少,"徐工机械,000425.SZ,单季度.投资活动现金净流量,S_QFA_NET_CASH_FLOWS_INV_ACT",,徐工机械,单季度.投资活动现金净流量,10y,[financial_statements] 验证 单季度.投资活动现金净流量 (table)
2023年深圳华强的单季度.投资活动现金净流量,"深圳华强,000062.SZ,单季度.投资活动现金净流量,S_QFA_NET_CASH_FLOWS_INV_ACT",2023,深圳华强,单季度.投资活动现金净流量,2023,[financial_statements] 验证 单季度.投资活动现金净流量 (table)
海王生物最新的单季度.经营活动现金净流量,"海王生物,000078.SZ,单季度.经营活动现金净流量,S_QFA_NET_CASH_FLOWS_OPER_ACT","ORDER BY,LIMIT 1",海王生物,单季度.经营活动现金净流量,latest,[financial_statements] 验证 单季度.经营活动现金净流量 (table)
截至2023年底派林生物的单季度.经营活动现金净流量,"派林生物,000403.SZ,单季度.经营活动现金净流量,S_QFA_NET_CASH_FLOWS_OPER_ACT","<=,2023",派林生物,单季度.经营活动现金净流量,until_2023,[financial_statements] 验证 单季度.经营活动现金净流量 (table)
截至2023年底华塑控股的单季度.处置固定无形长期资产收回的现金净额,"华塑控股,000509.SZ,单季度.处置固定无形长期资产收回的现金净额,S_QFA_NET_CASH_RECP_DISP_FIOLTA","<=,2023",华塑控股,单季度.处置固定无形长期资产收回的现金净额,until_2023,[financial_statements] 验证 单季度.处置固定无形长期资产收回的现金净额 (table)
深粮控股的单季度.处置固定无形长期资产收回的现金净额是多少,"深粮控股,000019.SZ,单季度.处置固定无形长期资产收回的现金净额,S_QFA_NET_CASH_RECP_DISP_FIOLTA",,深粮控股,单季度.处置固定无形长期资产收回的现金净额,10y,[financial_statements] 验证 单季度.处置固定无形长期资产收回的现金净额 (table)
查一下山东路桥的单季度.现金及现金等价物净增加额,"山东路桥,000498.SZ,单季度.现金及现金等价物净增加额,S_QFA_NET_INCR_CASH_CASH_EQU",,山东路桥,单季度.现金及现金等价物净增加额,10y,[financial_statements] 验证 单季度.现金及现金等价物净增加额 (table)
皇庭国际的单季度.现金及现金等价物净增加额是多少,"皇庭国际,000056.SZ,单季度.现金及现金等价物净增加额,S_QFA_NET_INCR_CASH_CASH_EQU",,皇庭国际,单季度.现金及现金等价物净增加额,10y,[financial_statements] 验证 单季度.现金及现金等价物净增加额 (table)
东方盛虹最新的单季度.归母净利润,"东方盛虹,000301.SZ,单季度.归母净利润,S_QFA_NET_PROFIT_EXCL_MIN_INT_INC","ORDER BY,LIMIT 1",东方盛虹,单季度.归母净利润,latest,[financial_statements] 验证 单季度.归母净利润 (table)
查一下平安银行的单季度.归母净利润,"平安银行,000001.SZ,单季度.归母净利润,S_QFA_NET_PROFIT_EXCL_MIN_INT_INC",,平安银行,单季度.归母净利润,10y,[financial_statements] 验证 单季度.归母净利润 (table)
富奥股份的单季度.净利润是多少,"富奥股份,000030.SZ,单季度.净利润,S_QFA_NET_PROFIT_INCL_MIN_INT_INC",,富奥股份,单季度.净利润,10y,[financial_statements] 验证 单季度.净利润 (table)
查一下深物业A的单季度.净利润,"深物业A,000011.SZ,单季度.净利润,S_QFA_NET_PROFIT_INCL_MIN_INT_INC",,深物业A,单季度.净利润,10y,[financial_statements] 验证 单季度.净利润 (table)
查一下美丽生态的单季度.营业利润,"美丽生态,000010.SZ,单季度.营业利润,S_QFA_OPER_PROFIT",,美丽生态,单季度.营业利润,10y,[financial_statements] 验证 单季度.营业利润 (table)
2023年广聚能源的单季度.营业利润,"广聚能源,000096.SZ,单季度.营业利润,S_QFA_OPER_PROFIT",2023,广聚能源,单季度.营业利润,2023,[financial_statements] 验证 单季度.营业利润 (table)
2023年*ST生物的单季度.主营业务收入,"*ST生物,000504.SZ,单季度.主营业务收入,S_QFA_OPER_REV",2023,*ST生物,单季度.主营业务收入,2023,[financial_statements] 验证 单季度.主营业务收入 (table)
查一下山东路桥的单季度.主营业务收入,"山东路桥,000498.SZ,单季度.主营业务收入,S_QFA_OPER_REV",,山东路桥,单季度.主营业务收入,10y,[financial_statements] 验证 单季度.主营业务收入 (table)
截至2023年底德赛电池的单季度.支付的各项税费,"德赛电池,000049.SZ,单季度.支付的各项税费,S_QFA_PAY_ALL_TYP_TAX","<=,2023",德赛电池,单季度.支付的各项税费,until_2023,[financial_statements] 验证 单季度.支付的各项税费 (table)
南玻A的单季度.支付的各项税费是多少,"南玻A,000012.SZ,单季度.支付的各项税费,S_QFA_PAY_ALL_TYP_TAX",,南玻A,单季度.支付的各项税费,10y,[financial_statements] 验证 单季度.支付的各项税费 (table)
华联控股的单季度.研发费用是多少,"华联控股,000036.SZ,单季度.研发费用,S_QFA_RD_EXPENSE",,华联控股,单季度.研发费用,10y,[financial_statements] 验证 单季度.研发费用 (table)
2023年中兴通讯的单季度.研发费用,"中兴通讯,000063.SZ,单季度.研发费用,S_QFA_RD_EXPENSE",2023,中兴通讯,单季度.研发费用,2023,[financial_statements] 验证 单季度.研发费用 (table)
金融街最新的单季报报告类型,"金融街,000402.SZ,单季报报告类型,S_QFA_REPORT_TYPE","ORDER BY,LIMIT 1",金融街,单季报报告类型,latest,[financial_statements] 验证 单季报报告类型 (table)
英特集团最近一年的单季报报告类型走势,"英特集团,000411.SZ,单季报报告类型,S_QFA_REPORT_TYPE",,英特集团,单季报报告类型,1y,[financial_statements] 验证 单季报报告类型 (table)
查一下通程控股的单季度.总资产净利率ROA,"通程控股,000419.SZ,单季度.总资产净利率ROA,S_QFA_ROA",,通程控股,单季度.总资产净利率ROA,10y,[financial_statements] 验证 单季度.总资产净利率ROA (table)
中集集团最近一年的单季度.总资产净利率ROA走势,"中集集团,000039.SZ,单季度.总资产净利率ROA,S_QFA_ROA",,中集集团,单季度.总资产净利率ROA,1y,[financial_statements] 验证 单季度.总资产净利率ROA (table)
新金路的单季度.净资产收益率ROE是多少,"新金路,000510.SZ,单季度.净资产收益率ROE,S_QFA_ROE",,新金路,单季度.净资产收益率ROE,10y,[financial_statements] 验证 单季度.净资产收益率ROE (table)
英特集团最近一年的单季度.净资产收益率ROE走势,"英特集团,000411.SZ,单季度.净资产收益率ROE,S_QFA_ROE",,英特集团,单季度.净资产收益率ROE,1y,[financial_statements] 验证 单季度.净资产收益率ROE (table)
华控赛格最近一年的单季度.净资产收益率ROE(扣非)走势,"华控赛格,000068.SZ,单季度.净资产收益率ROE(扣非),S_QFA_ROE_DEDUCTED",,华控赛格,单季度.净资产收益率ROE(扣非),1y,[financial_statements] 验证 单季度.净资产收益率ROE(扣非) (table)
查一下常山北明的单季度.净资产收益率ROE(扣非),"常山北明,000158.SZ,单季度.净资产收益率ROE(扣非),S_QFA_ROE_DEDUCTED",,常山北明,单季度.净资产收益率ROE(扣非),10y,[financial_statements] 验证 单季度.净资产收益率ROE(扣非) (table)
富奥股份最近一年的单季度.销售费用率走势,"富奥股份,000030.SZ,单季度.销售费用率,S_QFA_SALEEXPENSETOGR",,富奥股份,单季度.销售费用率,1y,[financial_statements] 验证 单季度.销售费用率 (table)
截至2023年底农产品的单季度.销售费用率,"农产品,000061.SZ,单季度.销售费用率,S_QFA_SALEEXPENSETOGR","<=,2023",农产品,单季度.销售费用率,until_2023,[financial_statements] 验证 单季度.销售费用率 (table)
特力A最新的单季度.营业总成本,"特力A,000025.SZ,单季度.营业总成本,S_QFA_TOT_OPER_COST","ORDER BY,LIMIT 1",特力A,单季度.营业总成本,latest,[financial_statements] 验证 单季度.营业总成本 (table)
英特集团最新的单季度.营业总成本,"英特集团,000411.SZ,单季度.营业总成本,S_QFA_TOT_OPER_COST","ORDER BY,LIMIT 1",英特集团,单季度.营业总成本,latest,[financial_statements] 验证 单季度.营业总成本 (table)
2023年方大集团的单季度.营业总收入,"方大集团,000055.SZ,单季度.营业总收入,S_QFA_TOT_OPER_REV",2023,方大集团,单季度.营业总收入,2023,[financial_statements] 验证 单季度.营业总收入 (table)
查一下中集集团的单季度.营业总收入,"中集集团,000039.SZ,单季度.营业总收入,S_QFA_TOT_OPER_REV",,中集集团,单季度.营业总收入,10y,[financial_statements] 验证 单季度.营业总收入 (table)
截至2023年底美的集团的单季度.利润总额,"美的集团,000333.SZ,单季度.利润总额,S_QFA_TOT_PROFIT","<=,2023",美的集团,单季度.利润总额,until_2023,[financial_statements] 验证 单季度.利润总额 (table)
截至2023年底神州数码的单季度.利润总额,"神州数码,000034.SZ,单季度.利润总额,S_QFA_TOT_PROFIT","<=,2023",神州数码,单季度.利润总额,until_2023,[financial_statements] 验证 单季度.利润总额 (table)
飞亚达最近一年的单季度.营业总收入YOY走势,"飞亚达,000026.SZ,单季度.营业总收入YOY,S_QFA_YOYGR",,飞亚达,单季度.营业总收入YOY,1y,[financial_statements] 验证 单季度.营业总收入YOY (table)
中信海直最近一年的单季度.营业总收入YOY走势,"中信海直,000099.SZ,单季度.营业总收入YOY,S_QFA_YOYGR",,中信海直,单季度.营业总收入YOY,1y,[financial_statements] 验证 单季度.营业总收入YOY (table)
中国宝安的单季度.归母净利润YOY是多少,"中国宝安,000009.SZ,单季度.归母净利润YOY,S_QFA_YOYNETPROFIT",,中国宝安,单季度.归母净利润YOY,10y,[financial_statements] 验证 单季度.归母净利润YOY (table)
查一下山东路桥的单季度.归母净利润YOY,"山东路桥,000498.SZ,单季度.归母净利润YOY,S_QFA_YOYNETPROFIT",,山东路桥,单季度.归母净利润YOY,10y,[financial_statements] 验证 单季度.归母净利润YOY (table)
英特集团的单季度.营业利润YOY是多少,"英特集团,000411.SZ,单季度.营业利润YOY,S_QFA_YOYOP",,英特集团,单季度.营业利润YOY,10y,[financial_statements] 验证 单季度.营业利润YOY (table)
查一下农产品的单季度.营业利润YOY,"农产品,000061.SZ,单季度.营业利润YOY,S_QFA_YOYOP",,农产品,单季度.营业利润YOY,10y,[financial_statements] 验证 单季度.营业利润YOY (table)
胜利股份最新的单季度.净利润YOY,"胜利股份,000407.SZ,单季度.净利润YOY,S_QFA_YOYPROFIT","ORDER BY,LIMIT 1",胜利股份,单季度.净利润YOY,latest,[financial_statements] 验证 单季度.净利润YOY (table)
查一下富奥股份的单季度.净利润YOY,"富奥股份,000030.SZ,单季度.净利润YOY,S_QFA_YOYPROFIT",,富奥股份,单季度.净利润YOY,10y,[financial_statements] 验证 单季度.净利润YOY (table)
查一下天健集团的单季度.主营业务收入YOY,"天健集团,000090.SZ,单季度.主营业务收入YOY,S_QFA_YOYSALES",,天健集团,单季度.主营业务收入YOY,10y,[financial_statements] 验证 单季度.主营业务收入YOY (table)
查一下新金路的单季度.主营业务收入YOY,"新金路,000510.SZ,单季度.主营业务收入YOY,S_QFA_YOYSALES",,新金路,单季度.主营业务收入YOY,10y,[financial_statements] 验证 单季度.主营业务收入YOY (table)
2023年深中华A的折旧与摊销,"深中华A,000017.SZ,折旧与摊销,S_STM_IS",2023,深中华A,折旧与摊销,2023,[financial_statements] 验证 折旧与摊销 (table)
截至2023年底中洲控股的折旧与摊销,"中洲控股,000042.SZ,折旧与摊销,S_STM_IS","<=,2023",中洲控股,折旧与摊销,until_2023,[financial_statements] 验证 折旧与摊销 (table)
截至2023年底深康佳A的应交税费,"深康佳A,000016.SZ,应交税费,TAXES_SURCHARGES_PAYABLE","<=,2023",深康佳A,应交税费,until_2023,[financial_statements] 验证 应交税费 (table)
截至2023年底深赛格的应交税费,"深赛格,000058.SZ,应交税费,TAXES_SURCHARGES_PAYABLE","<=,2023",深赛格,应交税费,until_2023,[financial_statements] 验证 应交税费 (table)
国际医学的资产总计是多少,"国际医学,000516.SZ,资产总计,TOT_ASSETS",,国际医学,资产总计,10y,[financial_statements] 验证 资产总计 (table)
深康佳A最近一年的资产总计走势,"深康佳A,000016.SZ,资产总计,TOT_ASSETS",,深康佳A,资产总计,1y,[financial_statements] 验证 资产总计 (table)
查一下川能动力的流动资产合计,"川能动力,000155.SZ,流动资产合计,TOT_CUR_ASSETS",,川能动力,流动资产合计,10y,[financial_statements] 验证 流动资产合计 (table)
查一下深圳华强的流动资产合计,"深圳华强,000062.SZ,流动资产合计,TOT_CUR_ASSETS",,深圳华强,流动资产合计,10y,[financial_statements] 验证 流动资产合计 (table)
北方国际最新的流动负债合计,"北方国际,000065.SZ,流动负债合计,TOT_CUR_LIAB","ORDER BY,LIMIT 1",北方国际,流动负债合计,latest,[financial_statements] 验证 流动负债合计 (table)
2023年深圳华强的流动负债合计,"深圳华强,000062.SZ,流动负债合计,TOT_CUR_LIAB",2023,深圳华强,流动负债合计,2023,[financial_statements] 验证 流动负债合计 (table)
2023年许继电气的负债合计,"许继电气,000400.SZ,负债合计,TOT_LIAB",2023,许继电气,负债合计,2023,[financial_statements] 验证 负债合计 (table)
2023年中联重科的负债合计,"中联重科,000157.SZ,负债合计,TOT_LIAB",2023,中联重科,负债合计,2023,[financial_statements] 验证 负债合计 (table)
神州高铁的非流动资产合计是多少,"神州高铁,000008.SZ,非流动资产合计,TOT_NON_CUR_ASSETS",,神州高铁,非流动资产合计,10y,[financial_statements] 验证 非流动资产合计 (table)
派林生物的非流动资产合计是多少,"派林生物,000403.SZ,非流动资产合计,TOT_NON_CUR_ASSETS",,派林生物,非流动资产合计,10y,[financial_statements] 验证 非流动资产合计 (table)
查一下深天马A的非流动负债合计,"深天马A,000050.SZ,非流动负债合计,TOT_NON_CUR_LIAB",,深天马A,非流动负债合计,10y,[financial_statements] 验证 非流动负债合计 (table)
湖北宜化最近一年的非流动负债合计走势,"湖北宜化,000422.SZ,非流动负债合计,TOT_NON_CUR_LIAB",,湖北宜化,非流动负债合计,1y,[financial_statements] 验证 非流动负债合计 (table)
深振业A最近一年的营业总成本走势,"深振业A,000006.SZ,营业总成本,TOT_OPER_COST",,深振业A,营业总成本,1y,[financial_statements] 验证 营业总成本 (table)
截至2023年底美的集团的营业总成本,"美的集团,000333.SZ,营业总成本,TOT_OPER_COST","<=,2023",美的集团,营业总成本,until_2023,[financial_statements] 验证 营业总成本 (table)
德赛电池最近一年的营业总收入走势,"德赛电池,000049.SZ,营业总收入,TOT_OPER_REV",,德赛电池,营业总收入,1y,[financial_statements] 验证 营业总收入 (table)
截至2023年底天健集团的营业总收入,"天健集团,000090.SZ,营业总收入,TOT_OPER_REV","<=,2023",天健集团,营业总收入,until_2023,[financial_statements] 验证 营业总收入 (table)
2023年国际实业的利润总额,"国际实业,000159.SZ,利润总额,TOT_PROFIT",2023,国际实业,利润总额,2023,[financial_statements] 验证 利润总额 (table)
华数传媒最近一年的利润总额走势,"华数传媒,000156.SZ,利润总额,TOT_PROFIT",,华数传媒,利润总额,1y,[financial_statements] 验证 利润总额 (table)
2023年湖北宜化的期末总股本,"湖北宜化,000422.SZ,期末总股本,TOT_SHR",2023,湖北宜化,期末总股本,2023,[financial_statements] 验证 期末总股本 (table)
截至2023年底深物业A的期末总股本,"深物业A,000011.SZ,期末总股本,TOT_SHR","<=,2023",深物业A,期末总股本,until_2023,[financial_statements] 验证 期末总股本 (table)
金隅冀东的归属母公司所有者权益合计是多少,"金隅冀东,000401.SZ,归属母公司所有者权益合计,TOT_SHRHLDR_EQY_EXCL_MIN_INT",,金隅冀东,归属母公司所有者权益合计,10y,[financial_statements] 验证 归属母公司所有者权益合计 (table)
华数传媒的归属母公司所有者权益合计是多少,"华数传媒,000156.SZ,归属母公司所有者权益合计,TOT_SHRHLDR_EQY_EXCL_MIN_INT",,华数传媒,归属母公司所有者权益合计,10y,[financial_statements] 验证 归属母公司所有者权益合计 (table)
深圳华强最近一年的所有者权益合计走势,"深圳华强,000062.SZ,所有者权益合计,TOT_SHRHLDR_EQY_INCL_MIN_INT",,深圳华强,所有者权益合计,1y,[financial_statements] 验证 所有者权益合计 (table)
中金岭南的所有者权益合计是多少,"中金岭南,000060.SZ,所有者权益合计,TOT_SHRHLDR_EQY_INCL_MIN_INT",,中金岭南,所有者权益合计,10y,[financial_statements] 验证 所有者权益合计 (table)
2023年国新健康的未分配利润,"国新健康,000503.SZ,未分配利润,UNDISTRIBUTED_PROFIT",2023,国新健康,未分配利润,2023,[financial_statements] 验证 未分配利润 (table)
平安银行最新的未分配利润,"平安银行,000001.SZ,未分配利润,UNDISTRIBUTED_PROFIT","ORDER BY,LIMIT 1",平安银行,未分配利润,latest,[financial_statements] 验证 未分配利润 (table)
中国宝安的购建固定无形长期资产支付的现金YOY是多少,"中国宝安,000009.SZ,购建固定无形长期资产支付的现金YOY,YOY_CASH_PAY",,中国宝安,购建固定无形长期资产支付的现金YOY,10y,[financial_statements] 验证 购建固定无形长期资产支付的现金YOY (table)
沈阳机床最新的购建固定无形长期资产支付的现金YOY,"沈阳机床,000410.SZ,购建固定无形长期资产支付的现金YOY,YOY_CASH_PAY","ORDER BY,LIMIT 1",沈阳机床,购建固定无形长期资产支付的现金YOY,latest,[financial_statements] 验证 购建固定无形长期资产支付的现金YOY (table)
京粮控股最新的存货周转率YOY,"京粮控股,000505.SZ,存货周转率YOY,YOY_INVTURN","ORDER BY,LIMIT 1",京粮控股,存货周转率YOY,latest,[financial_statements] 验证 存货周转率YOY (table)
兴业银锡最近一年的存货周转率YOY走势,"兴业银锡,000426.SZ,存货周转率YOY,YOY_INVTURN",,兴业银锡,存货周转率YOY,1y,[financial_statements] 验证 存货周转率YOY (table)
深天马A最近一年的净利润YOY走势,"深天马A,000050.SZ,净利润YOY,YOY_NET_PROFIT_MIN",,深天马A,净利润YOY,1y,[financial_statements] 验证 净利润YOY (table)
2023年中集集团的净利润YOY,"中集集团,000039.SZ,净利润YOY,YOY_NET_PROFIT_MIN",2023,中集集团,净利润YOY,2023,[financial_statements] 验证 净利润YOY (table)
截至2023年底深南电A的固定资产YOY,"深南电A,000037.SZ,固定资产YOY,YOY_STM_BS_TOT","<=,2023",深南电A,固定资产YOY,until_2023,[financial_statements] 验证 固定资产YOY (table)
2023年南玻A的固定资产YOY,"南玻A,000012.SZ,固定资产YOY,YOY_STM_BS_TOT",2023,南玻A,固定资产YOY,2023,[financial_statements] 验证 固定资产YOY (table)
南京公用的每股净资产-预测是多少,"南京公用,000421.SZ,每股净资产-预测,BPS_PREDICT",,南京公用,每股净资产-预测,10y,[prediction] 验证 每股净资产-预测 (table)
2023年兴业银锡的每股净资产-预测,"兴业银锡,000426.SZ,每股净资产-预测,BPS_PREDICT",2023,兴业银锡,每股净资产-预测,2023,[prediction] 验证 每股净资产-预测 (table)
大悦城最新的每股经营现金流-预测,"大悦城,000031.SZ,每股经营现金流-预测,CPS_PREDICT","ORDER BY,LIMIT 1",大悦城,每股经营现金流-预测,latest,[prediction] 验证 每股经营现金流-预测 (table)
深桑达A最近一年的每股经营现金流-预测走势,"深桑达A,000032.SZ,每股经营现金流-预测,CPS_PREDICT",,深桑达A,每股经营现金流-预测,1y,[prediction] 验证 每股经营现金流-预测 (table)
通程控股最新的股息收益率-预测,"通程控股,000419.SZ,股息收益率-预测,DIVIDEND_YIELD_PREDICT","ORDER BY,LIMIT 1",通程控股,股息收益率-预测,latest,[prediction] 验证 股息收益率-预测 (table)
富奥股份的股息收益率-预测是多少,"富奥股份,000030.SZ,股息收益率-预测,DIVIDEND_YIELD_PREDICT",,富奥股份,股息收益率-预测,10y,[prediction] 验证 股息收益率-预测 (table)
2023年深纺织A的每股股利-预测,"深纺织A,000045.SZ,每股股利-预测,DPS_PREDICT",2023,深纺织A,每股股利-预测,2023,[prediction] 验证 每股股利-预测 (table)
截至2023年底深科技的每股股利-预测,"深科技,000021.SZ,每股股利-预测,DPS_PREDICT","<=,2023",深科技,每股股利-预测,until_2023,[prediction] 验证 每股股利-预测 (table)
华天酒店最新的每股净利润-预测,"华天酒店,000428.SZ,每股净利润-预测,EPS_PREDICT","ORDER BY,LIMIT 1",华天酒店,每股净利润-预测,latest,[prediction] 验证 每股净利润-预测 (table)
查一下湖北宜化的每股净利润-预测,"湖北宜化,000422.SZ,每股净利润-预测,EPS_PREDICT",,湖北宜化,每股净利润-预测,10y,[prediction] 验证 每股净利润-预测 (table)
华联控股最新的EV/EBITDA-预测,"华联控股,000036.SZ,EV/EBITDA-预测,EV_EBITDA_PREDICT","ORDER BY,LIMIT 1",华联控股,EV/EBITDA-预测,latest,[prediction] 验证 EV/EBITDA-预测 (table)
武商集团的EV/EBITDA-预测是多少,"武商集团,000501.SZ,EV/EBITDA-预测,EV_EBITDA_PREDICT",,武商集团,EV/EBITDA-预测,10y,[prediction] 验证 EV/EBITDA-预测 (table)
2023年东阿阿胶的归属母公司净利润增速-预测,"东阿阿胶,000423.SZ,归属母公司净利润增速-预测,NET_PROFIT_GROWTH_RATE_PREDICT",2023,东阿阿胶,归属母公司净利润增速-预测,2023,[prediction] 验证 归属母公司净利润增速-预测 (table)
京粮控股的归属母公司净利润增速-预测是多少,"京粮控股,000505.SZ,归属母公司净利润增速-预测,NET_PROFIT_GROWTH_RATE_PREDICT",,京粮控股,归属母公司净利润增速-预测,10y,[prediction] 验证 归属母公司净利润增速-预测 (table)
